x,y
6.7420000959828E-07,1.26372294561185E-12
6.7543749082688E-07,1.26980936011899E-12
6.76675028898899E-07,1.27626620896236E-12
6.77912510127499E-07,1.28302077151109E-12
6.79149991356098E-07,1.28999151959499E-12
6.80387529428117E-07,1.29708896121756E-12
6.81625010656717E-07,1.30421674005314E-12
6.82862491885317E-07,1.31127606006727E-12
6.84100029957335E-07,1.31816736953072E-12
6.85337511185935E-07,1.32479216642037E-12
6.86574992414535E-07,1.33105755117073E-12
6.87812530486553E-07,1.33687760467492E-12
6.89050011715153E-07,1.34217468730406E-12
6.90287492943753E-07,1.34688260658422E-12
6.91525031015772E-07,1.35094673160542E-12
6.92762512244371E-07,1.35432406233736E-12
6.93999993472971E-07,1.35698436341303E-12
6.9523753154499E-07,1.35890903409075E-12
6.9647501277359E-07,1.36009022090152E-12
6.9771249400219E-07,1.36053032848703E-12
6.98950032074208E-07,1.36024042815961E-12
7.00187513302808E-07,1.35923921274589E-12
7.01424994531408E-07,1.35755168890435E-12
7.02662532603426E-07,1.35520791900594E-12
7.03900013832026E-07,1.35224244062096E-12
7.05137495060626E-07,1.34869270978266E-12
7.06375033132645E-07,1.34459854257648E-12
7.07612514361244E-07,1.34000218692908E-12
7.08849995589844E-07,1.33494671804468E-12
7.10087533661863E-07,1.32947616058896E-12
7.11325014890463E-07,1.32363610001621E-12
7.12562496119062E-07,1.31747202665921E-12
7.13800034191081E-07,1.31102995221293E-12
7.15037515419681E-07,1.304357352183E-12
7.16274996648281E-07,1.29750141803143E-12
7.17512534720299E-07,1.29050996693944E-12
7.18750015948899E-07,1.28343251942658E-12
7.19987497177499E-07,1.27631845003973E-12
7.21225035249518E-07,1.2692180170148E-12
7.22462516478117E-07,1.26218340300286E-12
7.23699997706717E-07,1.25526677774527E-12
7.24937535778736E-07,1.24852127825379E-12
7.26175017007336E-07,1.242001829586E-12
7.27412498235936E-07,1.23576311826307E-12
7.28650036307954E-07,1.22986031648023E-12
7.29887517536554E-07,1.22434945263659E-12
7.31124998765154E-07,1.21928525140598E-12
7.32362536837172E-07,1.21472134251456E-12
7.33600018065772E-07,1.21070991192531E-12
7.34837499294372E-07,1.20729935015881E-12
7.3607503736639E-07,1.20453370181658E-12
7.3731251859499E-07,1.20245141096333E-12
7.3854999982359E-07,1.20108285812965E-12
7.39787537895609E-07,1.20044904815976E-12
7.41025019124209E-07,1.2005596394117E-12
7.42262500352808E-07,1.20141088677278E-12
7.43500038424827E-07,1.20298415800915E-12
7.44737519653427E-07,1.20524415307266E-12
7.45975000882027E-07,1.20813840676032E-12
7.47212538954045E-07,1.21159691185544E-12
7.48450020182645E-07,1.21553200782978E-12
7.49687501411245E-07,1.21984071751595E-12
7.50925039483263E-07,1.22440663557353E-12
7.52162520711863E-07,1.22910236708756E-12
7.53400001940463E-07,1.23379464843594E-12
7.54637540012482E-07,1.23834805135952E-12
7.55875021241081E-07,1.24262887884711E-12
7.57112502469681E-07,1.24651081886211E-12
7.583500405417E-07,1.24987818095082E-12
7.595875217703E-07,1.25262875337891E-12
7.60825002998899E-07,1.25467708718771E-12
7.62062541070918E-07,1.25595525958054E-12
7.63300022299518E-07,1.25641324683284E-12
7.64537503528118E-07,1.25601881487676E-12
7.65775041600136E-07,1.25475599242395E-12
7.67012522828736E-07,1.25262372945244E-12
7.68250004057336E-07,1.24963354647526E-12
7.69487542129355E-07,1.24580740565295E-12
7.70725023357954E-07,1.24117632369744E-12
7.71962504586554E-07,1.23577737917678E-12
7.73200042658573E-07,1.22965237939418E-12
7.74437523887173E-07,1.22284743741624E-12
7.75675005115772E-07,1.21541014338398E-12
7.76912543187791E-07,1.20738941643191E-12
7.78150024416391E-07,1.19883612796183E-12
7.79387505644991E-07,1.18980048811943E-12
7.80625043717009E-07,1.1803328256921E-12
7.81862524945609E-07,1.17048490253224E-12
7.83100006174209E-07,1.16030731190699E-12
7.84337544246228E-07,1.14985079722595E-12
7.85575025474827E-07,1.13916788992552E-12
7.86812506703427E-07,1.12831018030742E-12
7.88050044775446E-07,1.11732989100009E-12
7.89287526004046E-07,1.1062815960411E-12
7.90525007232645E-07,1.09521935344098E-12
7.91762545304664E-07,1.08419836272369E-12
7.93000026533264E-07,1.07327661112917E-12
7.94237507761864E-07,1.0625119258559E-12
7.95475045833882E-07,1.05196357671716E-12
7.96712527062482E-07,1.0416936923428E-12
7.97950008291082E-07,1.03176426952211E-12
7.99187489519682E-07,1.02223894730165E-12
8.004250275917E-07,1.01318180933048E-12
8.016625088203E-07,1.00465856352709E-12
8.028999900489E-07,9.96733380131697E-13
8.04137528120918E-07,9.89469363379808E-13
8.05375009349518E-07,9.82928250431887E-13
8.06612490578118E-07,9.7716691366195E-13
8.07850028650137E-07,9.72236695185914E-13
8.09087509878736E-07,9.68181760829561E-13
8.10324991107336E-07,9.65035265915899E-13
8.11562529179355E-07,9.6281751279118E-13
8.12800010407955E-07,9.61533247594463E-13
8.14037491636555E-07,9.61168295750679E-13
8.15275029708573E-07,9.61687610922972E-13
8.16512510937173E-07,9.63033161490685E-13
8.17749992165773E-07,9.65123122834631E-13
8.18987530237791E-07,9.67852190617166E-13
8.20225011466391E-07,9.7109269475875E-13
8.21462492694991E-07,9.74698518329605E-13
8.2270003076701E-07,9.78509413602516E-13
8.23937511995609E-07,9.82356238372459E-13
8.25174993224209E-07,9.86068656193396E-13
8.26412531296228E-07,9.89481476749942E-13
8.27650012524828E-07,9.92440755403261E-13
8.28887493753427E-07,9.94810364082826E-13
8.30125031825446E-07,9.9647564593951E-13
8.31362513054046E-07,9.97345908695745E-13
8.32599994282646E-07,9.97355788902718E-13
8.33837532354664E-07,9.96464179038108E-13
8.35075013583264E-07,9.94652582506176E-13
8.36312494811864E-07,9.91922025157418E-13
8.37550032883883E-07,9.88289645850817E-13
8.38787514112482E-07,9.83785912102219E-13
8.40024995341082E-07,9.78450311331984E-13
8.41262533413101E-07,9.72328753447358E-13
8.42500014641701E-07,9.65472161344886E-13
8.437374958703E-07,9.57932902248409E-13
8.44975033942319E-07,9.49764142864018E-13
8.46212515170919E-07,9.41020243118791E-13
8.47449996399519E-07,9.31754023141292E-13
8.48687534471537E-07,9.22017609937048E-13
8.49925015700137E-07,9.11863937791138E-13
8.51162496928737E-07,9.01344257710909E-13
8.52400035000755E-07,8.90509682287611E-13
8.53637516229355E-07,8.79413066845188E-13
8.54874997457955E-07,8.68106330882941E-13
8.56112535529974E-07,8.5664219412827E-13
8.57350016758574E-07,8.45076048520174E-13
8.58587497987173E-07,8.3346300077731E-13
8.59825036059192E-07,8.21859604952459E-13
8.61062517287792E-07,8.10325592726764E-13
8.62299998516392E-07,7.98920756227902E-13
8.6353753658841E-07,7.87706624173692E-13
8.6477501781701E-07,7.76747996728225E-13
8.6601249904561E-07,7.6610982911354E-13
8.67250037117628E-07,7.55858774883353E-13
8.68487518346228E-07,7.46064401108959E-13
8.69724999574828E-07,7.36796141142985E-13
8.70962537646847E-07,7.28124479945367E-13
8.72200018875446E-07,7.20121543781692E-13
8.73437500104046E-07,7.12857997740674E-13
8.74675038176065E-07,7.06403415883772E-13
8.75912519404665E-07,7.00825706912306E-13
8.77150000633264E-07,6.96187623917866E-13
8.78387538705283E-07,6.92545692376747E-13
8.79625019933883E-07,6.89947884628442E-13
8.80862501162483E-07,6.88429511555776E-13
8.82100039234501E-07,6.88010448130346E-13
8.83337520463101E-07,6.88691226078793E-13
8.84575001691701E-07,6.90449183858535E-13
